Designator,Mid X,Mid Y,Rotation,Layer
C1,155.05,-21.5,270.0,top
C10,105.3,-21.5,270.0,top
C11,99.8,-21.5,270.0,top
C12,94.3,-21.5,270.0,top
C13,88.772638,-21.4983,270.0,top
C14,83.272638,-21.4983,270.0,top
C15,77.75,-21.5,270.0,top
C16,72.25,-21.5,270.0,top
C17,66.75,-21.5,270.0,top
C18,61.25,-21.5,270.0,top
C19,56.0,-21.5,270.0,top
C2,149.3,-21.5,270.0,top
C20,50.25,-21.48,270.0,top
C21,44.75,-21.5,270.0,top
C22,39.25,-21.5,270.0,top
C23,33.75,-21.5,270.0,top
C24,28.25,-21.5,270.0,top
C25,22.75,-21.52,270.0,top
C3,143.8,-21.52,270.0,top
C4,138.3,-21.5,270.0,top
C5,132.8,-21.5,270.0,top
C6,127.3,-21.5,270.0,top
C7,121.8,-21.5,270.0,top
C8,116.3,-21.5,270.0,top
C9,110.8,-21.5,270.0,top
D1,154.8,-26.0,270.0,top
D10,105.3,-26.0,270.0,top
D11,99.8,-26.0,270.0,top
D12,94.3,-26.0,270.0,top
D13,88.772638,-25.9983,270.0,top
D14,83.272638,-25.9983,270.0,top
D15,77.75,-26.0,270.0,top
D16,72.25,-26.0,270.0,top
D17,66.75,-26.0,270.0,top
D18,61.25,-26.0,270.0,top
D19,55.75,-26.0,270.0,top
D2,149.3,-26.0,270.0,top
D20,50.25,-26.0,270.0,top
D21,44.75,-26.0,270.0,top
D22,39.25,-26.0,270.0,top
D23,33.75,-26.0,270.0,top
D24,28.25,-26.0,270.0,top
D25,22.75,-26.0,270.0,top
D3,143.8,-26.0,270.0,top
D4,138.3,-26.0,270.0,top
D5,132.8,-26.0,270.0,top
D6,127.3,-26.0,270.0,top
D7,121.8,-26.0,270.0,top
D8,116.3,-26.0,270.0,top
D9,110.8,-26.0,270.0,top
